Urban Area,impactRank2020,hrsLostInCongestion2020,preCovidChange,lastMile
Akron OH,897 (809),5 (909),-51%,26
Albany NY,792 (864),9 (817),-29%,22
Albuquerque NM,822 (546),8 (847),-58%,22
Allentown PA,507 (822),19 (594),-13%,21
Ann Arbor MI,945 (170),3 (946),-91%,22
Annapolis MD,938 (652),4 (934),-35%,20
Antioch CA,783 (359),11 (774),-34%,29
Atco NJ,920 (879),5 (919),-45%,23
Athens AL,796 (567),11 (776),-13%,24
Atlanta GA,59 (174),53 (100),-36%,19
Auburn CA,786 (844),13 (748),317%,31
Augusta GA,856 (514),7 (872),-,23
Austin TX,240 (207),32 (339),-54%,19
Bakersfield CA,838 (208),7 (866),-42%,29
Baltimore MD,158 (111),37 (280),-56%,14
Bangor ME,845 (882),8 (852),30%,25
Baton Rouge LA,428 (211),23 (505),-17%,19
Baytown TX,932 (909),4 (931),302%,30
Beaumont TX,934 (749),3 (942),16%,26
Bend OR,600 (756),18 (623),78%,19
Billings MT,790 (702),10 (798),39%,22
Binghamton NY,911 (832),5 (916),358%,24
Birmingham AL,525 (358),18 (618),-40%,17
Boise ID,855 (237),7 (871),-64%,18
Boston MA,18 (36),78 (28),-47%,15
Boulder CO,581 (334),18 (622),-50%,22
Bountiful UT,836 (845),9 (826),816%,27
Bozeman MT,570 (685),20 (571),-13%,17
Brick NJ,741 (849),13 (743),62%,27
Bridgeport CT,471 (257),24 (489),-,20
Bristol TN,924 (1006),5 (920),864%,33
Brownsville TX,910 (737),4 (924),777%,15
Buffalo NY,860 (717),6 (886),-71%,18
Buford GA,895 (867),7 (877),1%,27
Canton OH,940 (872),3 (943),-48%,26
Charleston SC,697 (650),12 (756),13%,20
Charlotte NC,541 (218),17 (642),-66%,19
Charlottesville VA,894 (304),6 (897),-60%,20
Chattanooga TN,835 (740),8 (850),51%,26
Chicago IL,6 (7),104 (7),-28%,15
Cincinnati OH,665 (605),13 (735),-33%,20
Clearwater/St. Petersburg FL,795 (811),10 (799),-,25
Cleveland OH,587 (543),15 (687),-65%,19
Cleveland TN,789 (848),10 (797),27%,29
Cocoa FL,858 (897),9 (831),-32%,28
College Station TX,842 (873),8 (851),8%,28
Colorado Springs CO,810 (537),8 (844),-42%,21
Columbia MD,865 (874),7 (874),-34%,27
Columbia SC,614 (326),18 (625),-,21
Columbus GA,921 (887),4 (926),-63%,25
Columbus OH,651 (474),13 (733),-66%,20
Concord CA,239 (202),40 (230),-,20
Conroe TX,748 (936),13 (744),109%,27
Corpus Christi TX,788 (806),9 (816),-8%,26
Dallas TX,97 (63),44 (176),-31%,19
Dana Point CA,841 (917),9 (827),-39%,25
Danbury CT,689 (853),15 (690),26%,25
Davis CA,538 (250),22 (528),-7%,17
Dayton OH,919 (747),4 (925),-52%,22
Daytona Beach FL,889 (368),6 (895),529%,28
Delano CA,943 (935),4 (935),-75%,23
Delmar DE,933 (933),6 (902),-24%,37
Denver CO,133 (144),40 (228),-36%,16
Derby CT,900 (515),7 (878),-61%,31
Des Moines IA,833 (859),7 (865),643%,25
Detroit MI,640 (409),13 (732),-69%,26
Dover DE,890 (837),6 (896),-29%,23
Dublin CA,657 (350),17 (649),-,24
Durham NC,667 (295),14 (710),-46%,20
Easton PA,944 (973),4 (936),276%,29
Egg Harbor Township NJ,812 (894),10 (801),102%,31
El Paso TX,898 (915),5 (910),-70%,26
Elgin IL,881 (863),6 (892),-54%,27
Elyria OH,806 (876),10 (800),-58%,22
Erie PA,909 (871),5 (915),-78%,18
Escondido CA,626 (179),17 (646),-45%,24
Eugene OR,444 (633),24 (488),296%,22
Everett WA,758 (455),12 (763),-10%,22
Fairfield CA,672 (659),15 (689),-23%,24
Fall River MA,888 (540),6 (894),23%,27
Farmington NM,849 (899),8 (853),-3%,28
Fayetteville NC,800 (800),9 (819),7%,28
Fitchburg MA,846 (946),9 (828),24%,33
Fort Myers FL,540 (522),22 (529),-13%,28
Fort Pierce FL,727 (773),14 (714),2741%,21
Fort Smith AR,907 (938),5 (914),-19%,28
Fort Wayne IN,868 (865),6 (887),-35%,28
Framingham MA,460 (620),26 (457),-23%,23
Frederick MD,702 (761),15 (691),65%,36
Fredericksburg VA,582 (724),22 (531),140%,30
Freehold Township NJ,793 (838),11 (775),24%,31
Fresno CA,773 (529),9 (813),-51%,25
Gainesville FL,533 (463),20 (570),-35%,24
Gainesville GA,724 (710),13 (740),16%,28
Grand Rapids MI,840 (248),7 (867),-62%,19
Greeley CO,715 (722),13 (739),-14%,24
Greensboro NC,931 (675),3 (941),-44%,27
Greenville NC,774 (777),11 (773),6%,24
Greenville SC,566 (653),17 (643),7%,23
Gresham OR,601 (700),18 (624),54%,23
Hagerstown MD,762 (477),11 (771),-23%,28
Hammond IN,761 (784),12 (764),202%,22
Hampton VA,896 (840),6 (898),-31%,30
Harrisburg PA,946 (362),3 (947),-80%,24
Hartford CT,457 (293),21 (550),-66%,18
High Point NC,899 (881),6 (899),-21%,26
Hilo HI,886 (637),6 (893),-78%,23
Honolulu HI,705 (644),12 (757),-43%,20
Houston TX,42 (57),58 (74),-29%,19
Huntsville AL,799 (820),9 (818),74%,29
Indianapolis IN,628 (440),14 (707),-50%,17
Jackson MS,926 (603),4 (929),-65%,27
Jacksonville FL,530 (296),18 (619),-48%,21
Joliet IL,925 (706),5 (921),-53%,24
Kaneohe HI,804 (182),11 (777),-61%,16
Kansas City MO,656 (469),13 (734),-44%,20
Kennewick-Pasco-Richland WA,950 (985),3 (950),448%,28
King of Prussia PA,872 (238),8 (854),-66%,30
Knoxville TN,887 (797),5 (907),-53%,30
Lafayette IN,869 (618),7 (875),12%,19
Lakeland FL,638 (498),15 (688),24%,33
Lancaster CA,901 (857),5 (911),-34%,36
Lancaster PA,469 (298),22 (527),28%,21
Lansing MI,905 (978),5 (912),56%,21
Las Cruces NM,831 (931),8 (849),-26%,24
Las Vegas NV,303 (478),28 (416),76%,20
Lawrence MA,577 (267),20 (572),-,16
Lexington KY,578 (968),17 (644),-11%,-
Lincoln NE,851 (885),7 (870),-41%,25
Little Rock AR,927 (625),3 (939),-42%,36
Lodi CA,820 (487),9 (822),4%,27
Los Angeles CA,33 (37),62 (60),-40%,22
Louisville KY,847 (598),7 (869),-73%,18
Lowell MA,650 (581),16 (671),-3%,25
Lynchburg VA,935 (468),4 (932),-13%,29
Macon GA,922 (528),4 (927),-59%,28
Madison WI,713 (799),12 (758),-39%,21
Manassas VA,916 (219),5 (917),-73%,24
Manchester NH,759 (833),11 (770),111%,23
McAllen TX,644 (731),14 (709),58%,23
Melbourne FL,824 (201),9 (823),-72%,24
Memphis TN,798 (627),8 (842),-19%,25
Meriden CT,695 (893),16 (673),11%,24
Miami FL,32 (60),66 (45),-19%,19
Milwaukee WI,431 (458),22 (526),-52%,19
Minneapolis MN,491 (434),18 (616),-66%,17
Missoula MT,615 (732),18 (626),-6%,22
Mobile AL,692 (697),13 (738),-23%,23
Monterey CA,828 (417),10 (803),-23%,24
Montgomery AL,952 (414),3 (951),-74%,28
Myrtle Beach SC,746 (1008),11 (769),119%,26
Napa CA,700 (433),14 (712),-,20
Naples FL,549 (815),19 (596),34%,27
Nashua NH,873 (428),7 (876),-46%,22
Nashville TN,559 (279),16 (668),-55%,-
New Bedford MA,730 (779),13 (742),47%,21
New Braunfels TX,757 (892),12 (762),102%,46
New Haven CT,752 (232),10 (792),-35%,20
New London CT,903 (948),6 (900),53%,21
New Orleans LA,49 (52),63 (55),-21%,17
New Port Richey FL,778 (695),13 (746),-,31
New York City NY,5 (3),102 (9),-27%,12
Norfolk VA,808 (499),9 (820),-45%,25
North Charleston SC,642 (920),17 (647),20%,23
North Chicago IL,823 (817),10 (802),-23%,25
Ocala FL,677 (808),14 (711),-40%,27
Ocean Township NJ,854 (450),9 (830),-,23
Oceanside CA,473 (412),23 (506),16%,23
Odessa TX,859 (860),7 (873),-28%,28
Ogden UT,728 (932),11 (768),182%,35
Oklahoma City OK,736 (307),10 (790),-48%,17
Olympia WA,782 (976),10 (795),10%,22
Omaha NE,686 (825),13 (737),-3%,25
Orlando FL,779 (430),9 (814),-47%,25
Oxnard CA,801 (229),8 (843),-18%,23
Panama City FL,646 (337),16 (670),-48%,20
Parkersburg WV,942 (953),3 (945),-31%,28
Patchogue NY,908 (669),6 (901),-43%,28
Peekskill NY,929 (493),5 (922),-70%,22
Pensacola FL,514 (781),20 (569),64%,23
Peoria IL,948 (667),3 (949),437%,27
Philadelphia PA,13 (5),90 (16),-37%,12
Phoenix AZ,426 (291),21 (548),-44%,20
Pittsburgh PA,511 (966),18 (617),-50%,-
Port St. Lucie FL,227 (-),31 (4),-,-
Portland ME,930 (178),3 (940),-86%,20
Portland OR,85 (115),48 (135),-46%,18
Portsmouth NH,848 (918),9 (829),815%,24
Pottstown PA,937 (982),4 (933),41%,31
Providence RI,163 (152),38 (264),-46%,16
Provo UT,678 (785),13 (736),2%,26
Raleigh NC,877 (967),6 (890),-79%,-
Reading PA,941 (934),3 (944),-23%,37
Reno NV,611 (783),16 (669),35%,24
Richmond VA,760 (691),10 (793),-67%,24
Roanoke VA,720 (435),12 (759),-17%,21
Rochester NH,928 (941),4 (930),50%,39
Rohnert Park CA,918 (280),5 (918),-71%,22
Sacramento CA,366 (331),25 (472),-62%,18
Saginaw MI,765 (940),11 (772),11%,22
Salem OR,558 (738),18 (620),81%,23
Salinas CA,729 (903),12 (760),-3%,22
Salt Lake City UT,751 (930),10 (791),44%,24
San Antonio TX,390 (390),23 (504),-40%,20
San Diego CA,230 (290),32 (338),-54%,23
San Francisco CA,34 (38),64 (50),-34%,14
San Rafael CA,557 (198),22 (530),-37%,19
Santa Cruz CA,502 (1007),21 (551),110%,24
Santa Fe NM,742 (776),12 (761),-29%,21
Santa Rosa CA,784 (155),9 (815),-63%,27
Sarasota/Bradenton FL,442 (173),28 (417),-,19
Savannah GA,603 (862),17 (645),38%,19
Schenectady NY,643 (788),18 (627),17%,16
Seattle WA,250 (130),30 (379),-59%,19
Sherman TX,906 (956),5 (913),934%,33
South Bend IN,826 (823),8 (848),-27%,26
Spartanburg SC,878 (492),6 (891),-49%,21
Spokane WA,504 (793),20 (568),10%,20
Springfield MA,815 (831),8 (846),59%,32
St. George UT,825 (914),9 (824),-,25
St. Louis MO,725 (723),10 (789),-,25
Stamford CT,121 (68),46 (154),-38%,16
Stockton CA,769 (628),10 (794),387%,23
Strathearn CA,664 (606),16 (672),6%,32
Stuart FL,764 (643),14 (715),-23%,29
Surprise AZ,819 (900),9 (821),25%,26
Syracuse NY,811 (886),8 (845),-10%,22
Tacoma WA,726 (385),13 (741),-,19
Tallahassee FL,537 (294),19 (595),-26%,22
Tampa FL,440 (228),21 (549),-38%,25
Toledo OH,893 (884),5 (908),-15%,22
Toms River NJ,787 (846),10 (796),31%,28
Tucson AZ,492 (672),19 (593),-16%,20
Tulsa OK,923 (939),4 (928),20%,22
Tuscaloosa AL,843 (839),7 (868),-42%,25
Vacaville CA,597 (748),19 (597),-19%,21
Vallejo CA,871 (401),6 (888),-59%,23
Waco TX,947 (919),3 (948),-6%,46
Washington DC,98 (89),44 (177),-65%,14
Waterbury CT,723 (704),14 (713),126%,28
Watsonville CA,669 (705),17 (650),-13%,22
West Chester PA,780 (765),13 (747),-45%,30
Wheeling WV,829 (858),9 (825),-34%,26
Williamsburg VA,875 (991),8 (855),176%,35
Wilmington DE,648 (415),17 (648),-,19
Wilmington NC,569 (896),18 (621),-3%,28
Winston-Salem NC,876 (842),6 (889),-36%,30
Winter Haven FL,750 (668),13 (745),-5%,27
Woodbridge VA,861 (589),10 (804),-32%,27
Worcester MA,637 (679),14 (708),-24%,29