Name,2021,Preceding Period,
Alabama,56929,57243,
Alaska,81133,78236,
Arizona,70821,70220,
Arkansas,50784,53148,
California,81575,81278,
Colorado,84954,87689,
Connecticut,80958,83141,
Delaware,68687,73292,
District of Columbia,90640,92337,
Florida,59734,60460,
Georgia,61497,62033,
Hawaii,82199,84600,
Idaho,76918,69841,
Illinois,79253,77805,
Indiana,70190,69925,
Iowa,72429,72030,
Kansas,75979,76495,
Kentucky,55629,59405,
Louisiana,57206,53576,
Maine,71139,66667,
Maryland,97332,99215,
Massachusetts,86566,91912,
Michigan,64488,67399,
Minnesota,80441,82431,
Mississippi,46637,47242,
Missouri,63594,65081,
Montana,64999,59390,
Nebraska,78109,75622,
Nevada,64340,64020,
New Hampshire,88841,93045,
New Jersey,88559,89543,
New Mexico,53463,53283,
New York,72920,71865,
North Carolina,62891,63252,
North Dakota,68882,67109,
Ohio,62689,63198,
Oklahoma,60096,54921,
Oregon,81855,80443,
Pennsylvania,72627,74094,
Rhode Island,74982,83918,
South Carolina,62542,63159,
South Dakota,73893,73467,
Tennessee,62166,57542,
Texas,67404,71599,
The United States,70784,71186,
Utah,87649,87915,
Vermont,76079,70398,
Virginia,80268,86053,
Washington,87648,85157,
West Virginia,46836,54396,
Wisconsin,69943,70553,
Wyoming,71052,68506,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,