,Total population,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,PrimeAge,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,18 years and over,Male,Female,Sex ratio (males per 100 females),65 years and over,Male,Female,Sex ratio (males per 100 females),RACE,Total population,One race,Two or more races,One race,White,Black or African American,American Indian and Alaska Native,Cherokee tribal grouping,Chippewa tribal grouping,Navajo tribal grouping,Sioux tribal grouping,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Native Hawaiian,Chamorro,Samoan,Other Pacific Islander,Some other race,Two or more races,White and Black or African American,White and American Indian and Alaska Native,White and Asian,Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two races including Some other race,Two races excluding Some other race and Three or more races,Total housing units,CITIZEN VOTING AGE POPULATION,Citizen 18 and over population,Male,Female
Mississippi,2967023.00,1444255.00,1522768.00,94.8,182146.00,188097.00,212611.00,210730.00,199334,380627,372406,364118,192007,192016,2494092,288178.00,137072.00,47681.00,37.8,706054.00,2344417.00,2260969.00,2128379.00,586058.00,472931.00,2260969.00,1083380.00,1177589.00,92.0,472931.00,208362.00,264569.00,78.8,,2967023.00,2897034.00,69989.00,2897034.00,1701989.00,1113414.00,13357.00,699,28,4,112,29092.00,6365.00,4739.00,4617.00,870,1228.00,7971.00,3302.00,1129.00,187,302,132,508,38053.00,69989.00,22673.00,10463.00,7369.00,2170.00,,2967023.00,1765396.00,1144089.00,29230.00,40313.00,3405.00,59369.00,,2967023.00,95643.00,54418.00,10096.00,3207.00,27922.00,2871380.00,1661874.00,1109577.00,11587.00,28758.00,993,6743.00,51848.00,5151.00,46697.00,1317375.00,,2225553.00,1063306.00,1162247.00
Missouri,6141534.00,3027741.00,3113793.00,97.2,367132.00,380122.00,404107.00,401712.00,400642,814351,763084,744131,420482,411935,5107698,611609.00,299669.00,122558.00,38.8,1392375.00,4910777.00,4749159.00,4504629.00,1276025.00,1033836.00,4749159.00,2314221.00,2434938.00,95.0,1033836.00,461558.00,572278.00,80.7,,6141534.00,5862006.00,279528.00,5862006.00,4930466.00,695678.00,19904.00,5133.00,524,603,564,123406.00,32828.00,29147.00,13800.00,3069.00,9340.00,15838.00,19384.00,8468.00,1682.00,884,2524.00,3378.00,84084.00,279528.00,71079.00,51315.00,32089.00,5728.00,,6141534.00,5194182.00,790411.00,88968.00,165575.00,14660.00,185783.00,,6141534.00,271566.00,176642.00,19702.00,7670.00,67552.00,5869968.00,4800763.00,689839.00,15275.00,122395.00,7851.00,16775.00,217070.00,46229.00,170841.00,2782081.00,,4635933.00,2256906.00,2379027.00
Montana,1077978.00,545671.00,532307.00,102.5,60366.00,64963.00,67508.00,66874.00,71805,138091,132841,121522,72740,78814,875524,125468.00,56604.00,20382.00,40.0,232815.00,872599.00,845163.00,803782.00,248576.00,202454.00,845163.00,425570.00,419593.00,101.4,202454.00,97901.00,104553.00,93.6,,1077978.00,1029619.00,48359.00,1029619.00,938223.00,6236.00,65452.00,241,2360.00,484,2344.00,8972.00,780,2046.00,2597.00,861,784,653,1251.00,581,178,23,126,254,10155.00,48359.00,4013.00,19766.00,5711.00,742,,1077978.00,984510.00,12132.00,88093.00,16591.00,2913.00,24868.00,,1077978.00,43877.00,29758.00,2054.00,866,11199.00,1034101.00,916991.00,5339.00,62967.00,8802.00,565,2506.00,36931.00,5728.00,31203.00,512553.00,,835506.00,421457.00,414049.00
Nebraska,1951480.00,978863.00,972617.00,100.6,130400.00,134936.00,139102.00,136774.00,134953,255107,247949,221511,122330,122647,1645709,179998.00,84545.00,41228.00,36.7,485910.00,1519415.00,1465570.00,1383131.00,377129.00,305771.00,1465570.00,728846.00,736724.00,98.9,305771.00,139059.00,166712.00,83.4,,1951480.00,1851266.00,100214.00,1851266.00,1630376.00,93358.00,17937.00,557,170,240,4262.00,48379.00,8269.00,6433.00,4149.00,1872.00,3086.00,7682.00,16888.00,1175.00,387,472,76,240,60041.00,100214.00,21160.00,12953.00,11402.00,1369.00,,1951480.00,1724781.00,120992.00,36992.00,64180.00,3873.00,106730.00,,1951480.00,224693.00,161377.00,7009.00,5395.00,50912.00,1726787.00,1515645.00,91326.00,13017.00,47885.00,980,3899.00,54035.00,5420.00,48615.00,840802.00,,1391772.00,689553.00,702219.00
Nevada,3059238.00,1541789.00,1517449.00,101.6,181429.00,190962.00,204174.00,185258.00,180697,442799,413310,396434,198224,183544,2576831,301849.00,136718.00,43840.00,38.3,694030.00,2443108.00,2365208.00,2259599.00,591398.00,482407.00,2365208.00,1186819.00,1178389.00,100.7,482407.00,228939.00,253468.00,90.3,,3059238.00,2743982.00,315256.00,2743982.00,1799601.00,284412.00,37850.00,1781.00,278,2221.00,749,255094.00,17420.00,40497.00,130708.00,12395.00,14084.00,13938.00,26052.00,21810.00,8596.00,3621.00,4331.00,5262.00,345215.00,315256.00,37378.00,20666.00,42940.00,3487.00,,3059238.00,2081369.00,350048.00,75179.00,329669.00,45785.00,519881.00,,3059238.00,897415.00,670146.00,29605.00,34862.00,162802.00,2161823.00,1442883.00,273070.00,23229.00,249400.00,19821.00,13613.00,139807.00,17122.00,122685.00,1269846.00,,2099147.00,1053866.00,1045281.00
New Hampshire,1372175.00,683846.00,688329.00,99.3,63509.00,68766.00,78993.00,88329.00,86472,171559,160635,187228,112805,103743,1122039,154122.00,67763.00,28251.00,43.0,260615.00,1144768.00,1111560.00,1054041.00,309811.00,250136.00,1111560.00,550345.00,561215.00,98.1,250136.00,115777.00,134359.00,86.2,,1372175.00,1321285.00,50890.00,1321285.00,1249067.00,21834.00,1988.00,242,34,77,15,36625.00,10872.00,7703.00,3049.00,820,2596.00,3133.00,8452.00,513,168,222,77,46,11258.00,50890.00,8819.00,7956.00,10281.00,189,,1372175.00,1297158.00,34370.00,11567.00,48622.00,1707.00,32333.00,,1372175.00,55915.00,10183.00,18359.00,2302.00,25071.00,1316260.00,1220505.00,18705.00,1452.00,36507.00,402,2921.00,35768.00,7912.00,27856.00,636480.00,,1079642.00,534242.00,545400.00
New Jersey,9234024.00,4539311.00,4694713.00,96.7,530376.00,557847.00,590073.00,584965.00,559157,1179836,1197006,1265171,667696,607381,7739508,866918.00,428642.00,198956.00,40.0,2040442.00,7436293.00,7193582.00,6860646.00,1840980.00,1494516.00,7193582.00,3495699.00,3697883.00,94.5,1494516.00,653101.00,841415.00,77.6,,9234024.00,8616754.00,617270.00,8616754.00,5787873.00,1225321.00,24719.00,1242.00,30,226,152,900516.00,409982.00,159030.00,116127.00,13423.00,98046.00,21626.00,82282.00,3303.00,722,813,430,1338.00,675022.00,617270.00,89782.00,19932.00,64967.00,8122.00,,9234024.00,6328553.00,1398406.00,77404.00,1002672.00,12782.00,1075527.00,,9234024.00,1924503.00,223440.00,483170.00,97261.00,1120632.00,7309521.00,4966842.00,1158820.00,8873.00,894646.00,2196.00,52524.00,225620.00,49948.00,175672.00,3738342.00,,6384667.00,3086484.00,3298183.00
New Mexico,2109366.00,1048448.00,1060918.00,98.8,120716.00,132955.00,146685.00,142194.00,140177,280505,260723,241097,136314,138459,1739825,224882.00,103127.00,41532.00,38.3,485326.00,1682568.00,1624040.00,1538573.00,450474.00,369541.00,1624040.00,801085.00,822955.00,97.3,369541.00,170198.00,199343.00,85.4,,2109366.00,1847902.00,261464.00,1847902.00,1364638.00,44792.00,197712.00,1049.00,287,121573.00,659,34313.00,4070.00,6422.00,9730.00,1743.00,2559.00,5242.00,4547.00,1705.00,785,338,189,393,204742.00,261464.00,12769.00,23284.00,10987.00,2431.00,,2109366.00,1612464.00,66667.00,239040.00,51047.00,4873.00,410279.00,,2109366.00,1046411.00,682606.00,10666.00,5206.00,347933.00,1062955.00,759917.00,37848.00,180121.00,31382.00,1145.00,6663.00,45879.00,6332.00,39547.00,937397.00,,1522109.00,748253.00,773856.00
New York,20114745.00,9821711.00,10293034.00,95.4,1154376.00,1131385.00,1207089.00,1243126.00,1297689,2904643,2545476,2597124,1392050,1311628,16784586,1929865.00,948788.00,451506.00,39.2,4217396.00,16383427.00,15897349.00,15125983.00,4082609.00,3330159.00,15897349.00,7662421.00,8234928.00,93.0,3330159.00,1451787.00,1878372.00,77.3,,20114745.00,18914032.00,1200713.00,18914032.00,12215118.00,3058846.00,83734.00,2541.00,602,360,318,1739196.00,384745.00,733860.00,116148.00,35787.00,120360.00,30679.00,317617.00,9131.00,3217.00,1180.00,925,3809.00,1808007.00,1200713.00,208380.00,58494.00,138184.00,21901.00,,20114745.00,13172752.00,3516877.00,234614.00,1962674.00,34708.00,2501297.00,,20114745.00,3871753.00,481280.00,1090033.00,82308.00,2218132.00,16242992.00,10993176.00,2797225.00,40379.00,1723110.00,5024.00,140335.00,543743.00,126787.00,416956.00,8449178.00,,14182047.00,6802513.00,7379534.00
North Carolina,10367022.00,5067666.00,5299356.00,95.6,594004.00,627382.00,675846.00,698427.00,686487,1376001,1310998,1361474,690624,659544,8680787,1030725.00,474201.00,181309.00,39.0,2302315.00,8336531.00,8064707.00,7624346.00,2071321.00,1686235.00,8064707.00,3891027.00,4173680.00,93.2,1686235.00,746168.00,940067.00,79.4,,10367022.00,9866564.00,500458.00,9866564.00,6865508.00,2193147.00,113719.00,14746.00,601,598,372,314690.00,110320.00,50298.00,26246.00,7573.00,22382.00,34725.00,63146.00,7119.00,2244.00,1981.00,863,2031.00,372381.00,500458.00,125941.00,57370.00,49411.00,19567.00,,10367022.00,7310440.00,2392313.00,217203.00,390139.00,20145.00,578504.00,,10367022.00,1016730.00,545167.00,118113.00,29624.00,323826.00,9350292.00,6433921.00,2160554.00,98911.00,312111.00,6060.00,33426.00,305309.00,30441.00,274868.00,4673933.00,,7615601.00,3656483.00,3959118.00
North Dakota,773344.00,397093.00,376251.00,105.5,53417.00,52305.00,50743.00,50587.00,62395,114503,94808,80914,48478,46996,655146,67692.00,33554.00,16952.00,35.2,184458.00,607971.00,588886.00,553413.00,145240.00,118198.00,588886.00,302450.00,286436.00,105.6,118198.00,54879.00,63319.00,86.7,,773344.00,743545.00,29799.00,743545.00,656584.00,24349.00,39103.00,257,14753.00,614,11178.00,12313.00,1983.00,1336.00,2451.00,466,1274.00,798,4005.00,1194.00,479,148,134,433,10002.00,29799.00,4577.00,11900.00,3511.00,353,,773344.00,685097.00,30520.00,52961.00,16687.00,1987.00,17862.00,,773344.00,31926.00,19885.00,3684.00,278,8079.00,741418.00,642956.00,23887.00,37016.00,12231.00,1180.00,1591.00,22557.00,2912.00,19645.00,370111.00,,571023.00,293345.00,277678.00
Ohio,11769923.00,5800004.00,5969919.00,97.2,689126.00,712811.00,764371.00,777556.00,748606,1543258,1430057,1478888,821573,798875,9765121,1196942.00,563390.00,244470.00,39.4,2629989.00,9449482.00,9139934.00,8664868.00,2466324.00,2004802.00,9139934.00,4453915.00,4686019.00,95.0,2004802.00,891567.00,1113235.00,80.1,,11769923.00,11267531.00,502392.00,11267531.00,9374538.00,1452530.00,18416.00,3420.00,513,204,337,276828.00,97629.00,59710.00,22225.00,10486.00,15451.00,15966.00,55361.00,3899.00,1114.00,450,601,1734.00,141320.00,502392.00,193796.00,55763.00,59132.00,12270.00,,11769923.00,9839507.00,1703313.00,108909.00,357647.00,16395.00,285554.00,,11769923.00,480347.00,212054.00,137966.00,10859.00,119468.00,11289576.00,9152826.00,1432646.00,11239.00,274662.00,3407.00,32171.00,382625.00,44709.00,337916.00,5232733.00,,8909366.00,4331266.00,4578100.00
Oklahoma,3948136.00,1964927.00,1983209.00,99.1,252929.00,266855.00,279147.00,269963.00,271501,535616,503103,459972,250962,242256,3332304,367032.00,182204.00,66596.00,36.8,961070.00,3094226.00,2987066.00,2818973.00,759163.00,615832.00,2987066.00,1473458.00,1513608.00,97.3,615832.00,277310.00,338522.00,81.9,,3948136.00,3554749.00,393387.00,3554749.00,2752553.00,284536.00,303792.00,119936.00,433,1212.00,1276.00,88601.00,16791.00,11810.00,7029.00,2161.00,5630.00,20475.00,24705.00,6760.00,1240.00,466,410,4644.00,118507.00,393387.00,47619.00,200897.00,20036.00,17061.00,,3948136.00,3119450.00,369304.00,545381.00,119454.00,12662.00,202494.00,,3948136.00,443914.00,351420.00,16068.00,3335.00,73091.00,3504222.00,2533380.00,278454.00,285097.00,87388.00,6155.00,9148.00,304600.00,12453.00,292147.00,1741721.00,,2852278.00,1401083.00,1451195.00
Oregon,4207177.00,2096429.00,2110748.00,99.3,223615.00,241313.00,257073.00,251743.00,262037,592788,575671,517524,263898,278390,3464052,461354.00,198601.00,83170.00,39.6,873486.00,3434262.00,3333691.00,3179562.00,908316.00,743125.00,3333691.00,1647993.00,1685698.00,97.8,743125.00,343287.00,399838.00,85.9,,4207177.00,3881565.00,325612.00,3881565.00,3394838.00,77913.00,46075.00,3510.00,1029.00,1145.00,1430.00,186724.00,29032.00,42460.00,21153.00,13044.00,16751.00,31997.00,32287.00,17272.00,3943.00,1801.00,1816.00,9712.00,158743.00,325612.00,36616.00,71225.00,56177.00,1212.00,,4207177.00,3704064.00,129985.00,139496.00,265718.00,37159.00,289198.00,,4207177.00,570511.00,456619.00,15171.00,8142.00,90579.00,3636666.00,3116280.00,74010.00,32890.00,184235.00,16380.00,13684.00,199187.00,26700.00,172487.00,1798864.00,,3135105.00,1543471.00,1591634.00
Pennsylvania,12970650.00,6394217.00,6576433.00,97.2,700792.00,733404.00,789343.00,831360.00,804254,1701098,1558578,1650190,924182,915659,10608860,1374891.00,666554.00,320345.00,40.8,2704482.00,10587037.00,10266168.00,9746827.00,2899832.00,2361790.00,10266168.00,5008302.00,5257866.00,95.3,2361790.00,1047887.00,1313903.00,79.8,,12970650.00,12415449.00,555201.00,12415449.00,10153752.00,1425210.00,20511.00,1921.00,229,156,306,460932.00,148727.00,115751.00,27819.00,5664.00,37797.00,40997.00,84177.00,4426.00,1582.00,720,386,1738.00,350618.00,555201.00,164463.00,39423.00,66968.00,11985.00,,12970650.00,10649066.00,1671496.00,99345.00,555182.00,15768.00,583126.00,,12970650.00,1023055.00,166899.00,479824.00,24878.00,351454.00,11947595.00,9734303.00,1360025.00,9708.00,457712.00,2763.00,39283.00,343801.00,54750.00,289051.00,5728788.00,,9893009.00,4813225.00,5079784.00
Rhode Island,1091949.00,534283.00,557666.00,95.8,55370.00,57333.00,61405.00,74799.00,76427,151218,130860,141011,76853,78087,903363,110114.00,53719.00,24753.00,40.0,212663.00,906304.00,879286.00,824698.00,232863.00,188586.00,879286.00,425349.00,453937.00,93.7,188586.00,82969.00,105617.00,78.6,,1091949.00,1019981.00,71968.00,1019981.00,841181.00,69398.00,4437.00,61,12,0,21,37701.00,9168.00,8667.00,3308.00,825,1803.00,1581.00,12349.00,689,104,387,37,161,66575.00,71968.00,12076.00,4811.00,6744.00,1326.00,,1091949.00,900854.00,95965.00,14451.00,46695.00,2287.00,110307.00,,1091949.00,178673.00,11621.00,47087.00,2020.00,117945.00,913276.00,770700.00,59203.00,2968.00,37153.00,539,8033.00,34680.00,9229.00,25451.00,481168.00,,819450.00,395191.00,424259.00
South Carolina,5078903.00,2474059.00,2604844.00,95.0,285472.00,306986.00,325370.00,330915.00,322989,660600,623443,638085,342145,341401,4177406,561298.00,254150.00,86049.00,39.8,1109803.00,4097365.00,3969100.00,3759873.00,1102774.00,901497.00,3969100.00,1907422.00,2061678.00,92.5,901497.00,404922.00,496575.00,81.5,,5078903.00,4877129.00,201774.00,4877129.00,3334961.00,1328691.00,15595.00,2856.00,105,67,231,83441.00,23071.00,15211.00,13308.00,2823.00,5776.00,10906.00,12346.00,4545.00,1482.00,892,197,1974.00,109896.00,201774.00,61546.00,24657.00,21125.00,6010.00,,5078903.00,3517786.00,1413250.00,54549.00,113685.00,8866.00,184951.00,,5078903.00,306230.00,153251.00,40775.00,10534.00,101670.00,4772673.00,3206780.00,1319130.00,11355.00,82488.00,4324.00,15252.00,133344.00,12780.00,120564.00,2325248.00,,3836604.00,1835194.00,2001410.00
South Dakota,881785.00,446461.00,435324.00,102.6,59538.00,62223.00,61727.00,59943.00,58119,113476,107033,96062,57430,59450,735001,88456.00,39629.00,18699.00,37.1,218698.00,686625.00,663087.00,626786.00,181764.00,146784.00,663087.00,334819.00,328268.00,102.0,146784.00,68936.00,77848.00,88.6,,881785.00,843266.00,38519.00,843266.00,728526.00,19300.00,73296.00,250,469,187,54699.00,12677.00,2409.00,1554.00,2062.00,465,1095.00,675,4417.00,753,130,200,45,378,8714.00,38519.00,4993.00,15417.00,3158.00,779,,881785.00,764992.00,27202.00,91514.00,16983.00,1718.00,20378.00,,881785.00,37618.00,21638.00,3054.00,754,12172.00,844167.00,712735.00,18736.00,70363.00,12579.00,700,1393.00,27661.00,2839.00,24822.00,391857.00,,645570.00,325317.00,320253.00
Tennessee,6859497.00,3362099.00,3497398.00,96.1,405867.00,415626.00,447531.00,438290.00,443703,937154,862987,885621,458189,446339,5741307,683206.00,324326.00,110658.00,38.8,1534243.00,5504783.00,5325254.00,5058420.00,1380140.00,1118190.00,5325254.00,2577501.00,2747753.00,93.8,1118190.00,499601.00,618589.00,80.8,,6859497.00,6597904.00,261593.00,6597904.00,5198206.00,1130608.00,15219.00,3408.00,285,274,283,125581.00,35042.00,22381.00,12576.00,4898.00,9921.00,12522.00,28241.00,4312.00,1447.00,795,700,1370.00,123978.00,261593.00,74136.00,40920.00,27486.00,4689.00,,6859497.00,5441228.00,1229561.00,70338.00,162434.00,12067.00,221464.00,,6859497.00,395967.00,228525.00,34421.00,13799.00,119222.00,6463530.00,5002855.00,1120548.00,10292.00,124495.00,3518.00,19258.00,182564.00,25706.00,156858.00,3011124.00,,5138918.00,2477536.00,2661382.00
Texas,28862581.00,14398171.00,14464410.00,99.5,1959223.00,2041691.00,2176838.00,2083480.00,1981880,4180029,3979307,3575796,1707087,1556452,25241783,2233217.00,1003614.00,383967.00,35.0,7446176.00,22261181.00,21416405.00,20202923.00,4521104.00,3620798.00,21416405.00,10595112.00,10821293.00,97.9,3620798.00,1633318.00,1987480.00,82.2,,28862581.00,25710496.00,3152085.00,25710496.00,18566027.00,3499862.00,147892.00,13135.00,841,4645.00,1547.00,1452713.00,452909.00,223503.00,137238.00,24870.00,80664.00,279424.00,254105.00,24608.00,5683.00,7085.00,4016.00,7824.00,2019394.00,3152085.00,247333.00,168796.00,162898.00,22496.00,,28862581.00,21574802.00,3902797.00,428337.00,1705370.00,63037.00,4475828.00,,28862581.00,11479932.00,9605740.00,228286.00,104081.00,1541825.00,17382649.00,11745032.00,3401742.00,55658.00,1433683.00,21282.00,72621.00,652631.00,81120.00,571511.00,11433880.00,,18729813.00,9207446.00,9522367.00
Utah,3231370.00,1633843.00,1597527.00,102.3,245639.00,266567.00,272709.00,259821.00,264774,470489,449006,337187,155436,151574,2873202,220564.00,101510.00,36094.00,31.3,946063.00,2391727.00,2285307.00,2137630.00,446394.00,358168.00,2285307.00,1147709.00,1137598.00,100.9,358168.00,168310.00,189858.00,88.7,,3231370.00,3049012.00,182358.00,3049012.00,2704561.00,38545.00,33242.00,724,96,14703.00,550,75530.00,11541.00,14268.00,9131.00,5678.00,5654.00,9381.00,19877.00,29086.00,1976.00,873,8808.00,17429.00,168048.00,182358.00,15417.00,20001.00,31412.00,889,,3231370.00,2875805.00,63920.00,64425.00,118986.00,52444.00,256769.00,,3231370.00,465832.00,326764.00,12716.00,3830.00,122522.00,2765538.00,2497463.00,35281.00,26012.00,74090.00,28407.00,8841.00,95444.00,11817.00,83627.00,1133558.00,,2143417.00,1075488.00,1067929.00
Vermont,641637.00,318533.00,323104.00,98.6,29168.00,32564.00,35158.00,43586.00,46698,75375,74504,81221,48114,50118,516506,77359.00,34149.00,13623.00,42.7,118889.00,537475.00,522748.00,490048.00,154855.00,125131.00,522748.00,256726.00,266022.00,96.5,125131.00,58154.00,66977.00,86.8,,641637.00,620015.00,21622.00,620015.00,596282.00,8166.00,1520.00,32,14,59,12,10759.00,1858.00,2853.00,932,382,997,510,3227.00,165,89,0,6,70,3123.00,21622.00,3450.00,5624.00,4292.00,405,,641637.00,616685.00,13457.00,8470.00,15767.00,564,9581.00,,641637.00,13368.00,3975.00,2250.00,792,6351.00,628269.00,589575.00,7643.00,1152.00,10630.00,147,1208.00,17914.00,3322.00,14592.00,333519.00,,512071.00,251654.00,260417.00
Virginia,8582479.00,4245281.00,4337198.00,97.9,501494.00,518860.00,546960.00,561964.00,570680,1175445,1136245,1119597,583198,539436,7253879,803270.00,381237.00,144093.00,38.5,1892752.00,6903607.00,6689727.00,6332302.00,1637327.00,1328600.00,6689727.00,3274786.00,3414941.00,95.9,1328600.00,594392.00,734208.00,81.0,,8582479.00,8079139.00,503340.00,8079139.00,5574307.00,1631941.00,24007.00,2592.00,514,396,188,578210.00,154333.00,78587.00,76614.00,11055.00,74569.00,61152.00,121900.00,5313.00,1441.00,1803.00,884,1185.00,265361.00,503340.00,124242.00,37228.00,90607.00,12674.00,,8582479.00,6024697.00,1826176.00,101008.00,705351.00,19226.00,456621.00,,8582479.00,840248.00,190142.00,108327.00,22602.00,519177.00,7742231.00,5200759.00,1601041.00,13983.00,573860.00,4423.00,32689.00,315476.00,30671.00,284805.00,3596100.00,,6256028.00,3061042.00,3194986.00
Washington,7617364.00,3831964.00,3785400.00,101.2,449543.00,473106.00,479107.00,458844.00,478112,1152156,1044100,939276,480723,484625,6439592,732246.00,314679.00,130847.00,37.9,1680460.00,6120915.00,5936904.00,5663680.00,1465036.00,1177772.00,5936904.00,2971080.00,2965824.00,100.2,1177772.00,542528.00,635244.00,85.4,,7617364.00,6961770.00,655594.00,6961770.00,5465011.00,293401.00,90789.00,2761.00,2048.00,1781.00,1561.00,682711.00,133439.00,157137.00,110300.00,36248.00,66682.00,80038.00,98867.00,50902.00,7316.00,10639.00,15767.00,17180.00,378956.00,655594.00,93950.00,101356.00,146511.00,7323.00,,7617364.00,6071221.00,440529.00,237274.00,888309.00,99061.00,604365.00,,7617364.00,1007881.00,782899.00,39291.00,11637.00,174054.00,6609483.00,5063850.00,283174.00,69496.00,675966.00,49088.00,29227.00,438682.00,42065.00,396617.00,3170695.00,,5413415.00,2701021.00,2712394.00
West Virginia,1801049.00,896723.00,904326.00,99.2,93223.00,100375.00,108080.00,110523.00,110934,210924,218005,232672,124666,132772,1442174,217726.00,102538.00,38611.00,42.6,366495.00,1478714.00,1434554.00,1364916.00,438831.00,358875.00,1434554.00,707968.00,726586.00,97.4,358875.00,164810.00,194065.00,84.9,,1801049.00,1745586.00,55463.00,1745586.00,1658405.00,61143.00,1911.00,653,48,0,26,13882.00,3562.00,2390.00,2607.00,747,975,1390.00,2211.00,683,255,24,68,336,9562.00,55463.00,18631.00,11211.00,4916.00,480,,1801049.00,1711296.00,83969.00,15656.00,20195.00,2138.00,26519.00,,1801049.00,30196.00,10720.00,6250.00,1238.00,11988.00,1770853.00,1643042.00,60339.00,1786.00,13763.00,660,4426.00,46837.00,9563.00,37274.00,859437.00,,1422143.00,701553.00,720590.00
Wisconsin,5871661.00,2937621.00,2934040.00,100.1,329324.00,353613.00,379887.00,387828.00,393324,735155,728714,732579,427743,406416,4874583,599187.00,274164.00,123727.00,39.6,1292944.00,4731836.00,4578717.00,4339111.00,1234894.00,997078.00,4578717.00,2275271.00,2303446.00,98.8,997078.00,460509.00,536569.00,85.8,,5871661.00,5612184.00,259477.00,5612184.00,4894019.00,372439.00,45831.00,681,14493.00,332,491,166670.00,35003.00,24947.00,11059.00,2780.00,7917.00,6325.00,78639.00,2862.00,568,471,394,1429.00,130363.00,259477.00,59547.00,39401.00,33686.00,3374.00,,5871661.00,5138945.00,450846.00,97998.00,208336.00,7224.00,241951.00,,5871661.00,424598.00,297788.00,63813.00,6571.00,56426.00,5447063.00,4705965.00,364446.00,39457.00,165139.00,2395.00,12531.00,157130.00,21262.00,135868.00,2718369.00,,4437212.00,2200441.00,2236771.00
Wyoming,576641.00,295204.00,281437.00,104.9,34262.00,37814.00,39782.00,37649.00,36972,75736,74849,65218,38554,39265,480101,60497.00,26240.00,9803.00,38.2,134467.00,457128.00,442174.00,419406.00,119370.00,96540.00,442174.00,225900.00,216274.00,104.5,96540.00,46969.00,49571.00,94.8,,576641.00,548204.00,28437.00,548204.00,511179.00,5242.00,12987.00,290,145,484,726,5046.00,641,1324.00,1159.00,441,486,312,683,433,214,104,3,112,13317.00,28437.00,3635.00,6567.00,3283.00,53,,576641.00,538720.00,10089.00,21142.00,9452.00,1427.00,26387.00,,576641.00,59185.00,45277.00,1232.00,220,12456.00,517456.00,478508.00,4811.00,11330.00,4907.00,397,1582.00,15921.00,2630.00,13291.00,271818.00,,431007.00,220173.00,210834.00